"TENLLD Tenure and Landlord Type","Owned outright","Owned with a mortgage","Rented: Real estate agent","Rented: State or territory housing authority","Rented: Community housing provider","Rented: Person not in same household","Rented: Other landlord type","Rented: Landlord type not stated","Other tenure type","Tenure type not stated","Tenure type not applicable","Total",
"Valentine - Eleebana",2171,1763,373,0,0,93,10,0,54,64,197,4723,
"Warners Bay - Boolaroo",2426,1961,973,95,8,259,24,11,87,203,350,6392,
"Bolton Point - Teralba",1163,1391,430,305,72,146,34,3,113,203,205,4063,
"Bonnells Bay - Silverwater",1479,1225,700,15,3,181,13,3,36,130,459,4250,
"Edgeworth - Cameron Park",1435,2667,899,161,71,185,33,5,95,176,212,5941,
"Morisset - Cooranbong",2477,2187,959,47,48,327,111,15,467,325,592,7540,
"Toronto - Awaba",2289,1707,752,340,42,209,49,7,87,248,393,6129,
"Wangi Wangi - Rathmines",1625,1355,416,0,4,135,37,3,54,144,352,4132,
"West Wallsend - Barnsley - Killingworth",833,1260,259,5,9,105,7,0,85,78,91,2744,
"Adamstown - Kotara",2161,2281,1152,129,22,307,80,7,63,172,356,6731,
"Beresfield - Hexham",1173,1109,484,187,81,193,24,7,45,138,178,3617,
"Hamilton - Broadmeadow",1601,1347,1256,480,82,323,42,13,92,421,613,6272,
"Lambton - New Lambton",2341,2266,1314,282,79,382,22,8,63,236,402,7393,
"Maryland - Fletcher - Minmi",1345,2652,992,74,26,192,38,3,39,143,182,5687,
"Mayfield - Warabrook",1583,2131,1643,310,93,440,33,12,84,253,510,7089,
"Merewether - The Junction",2021,1689,1218,230,27,321,26,5,62,174,509,6278,
"Newcastle - Cooks Hill",1587,1204,2424,397,39,442,38,12,61,307,1349,7856,
"Newcastle Port - Kooragang",6,5,0,0,0,0,0,0,4,0,0,17,
"Shortland - Jesmond",875,974,1425,216,53,424,67,16,156,298,338,4847,
"Stockton - Fullerton Cove",1620,978,577,111,10,118,77,3,55,231,276,4057,
"Wallsend - Elermore Vale",2592,2639,1576,405,122,437,54,19,269,321,469,8901,
"Waratah - North Lambton",1247,1609,1316,262,40,364,27,8,64,259,364,5560,
"Wickham - Carrington - Tighes Hill",953,1243,1176,91,82,333,32,0,44,146,430,4532,
"Ballina",3308,1630,1469,480,102,460,167,20,373,660,689,9360,
"Ballina Surrounds",2951,2165,889,53,34,448,51,12,186,349,451,7590,
"Bangalow",879,770,224,6,6,302,28,6,61,299,258,2830,
"Brunswick Heads - Ocean Shores",1376,1042,579,19,34,412,42,9,64,322,504,4402,
"Byron Bay",1443,1003,730,55,83,526,157,9,105,364,1306,5785,
"Evans Head",1071,581,391,17,31,166,68,9,54,238,384,3003,
"Lennox Head - Skennars Head",1433,1173,482,0,5,242,33,6,39,158,333,3896,
"Mullumbimby",1295,857,278,13,32,499,30,6,76,453,353,3894,
"Casino",1788,1392,794,180,55,279,81,13,82,441,336,5436,
"Casino Surrounds",1249,842,125,4,11,199,39,0,95,322,303,3191,
"Goonellabah",1929,1724,827,242,84,335,31,18,115,267,321,5895,
"Kyogle",1528,787,286,35,12,253,19,4,107,300,417,3748,
"Lismore",1964,1793,1251,186,141,604,166,16,84,433,548,7192,
"Lismore Surrounds",2669,1985,301,0,16,465,36,9,180,618,540,6822,
"Kingscliff - Fingal Head",2594,1610,931,97,14,320,139,8,89,328,952,7077,
"Murwillumbah",1308,1147,613,131,36,268,33,11,101,261,278,4201,
"Murwillumbah Surrounds",1639,1185,189,0,3,307,45,3,126,468,395,4362,
"Pottsville",1969,1786,724,64,15,396,77,0,121,337,631,6111,
"Tweed Heads",3519,2360,1444,193,49,638,216,17,216,763,1016,10437,
"Banora Point",2816,2094,677,145,54,302,30,11,170,291,365,6964,
"Terranora - North Tumbulgum",433,493,64,0,0,44,0,0,15,49,58,1146,
"Tweed Heads South",1823,782,488,193,66,196,158,8,98,263,285,4368,
"Griffith (NSW)",2273,2018,1591,289,83,489,175,28,175,563,623,8303,
"Griffith Surrounds",1711,1225,265,32,26,439,224,15,317,636,469,5371,
"Leeton",1312,1174,615,105,8,270,73,12,54,313,316,4248,
"Narrandera",936,639,245,51,9,172,57,6,75,241,363,2799,
"Tumbarumba",635,332,107,19,6,116,64,6,50,119,259,1712,
"Tumut",969,755,511,142,7,161,34,6,34,194,260,3077,
"Tumut Surrounds",896,541,95,22,17,109,43,3,81,176,333,2312,
"Cootamundra",1548,785,333,148,0,191,45,0,106,213,409,3784,
"Gundagai",608,365,121,28,0,96,33,6,72,174,229,1732,
"Junee",824,644,346,47,9,111,18,0,51,161,270,2493,
"Temora",1312,626,281,46,33,190,48,5,98,157,444,3231,
"Wagga Wagga - East",2249,2258,1171,119,44,270,62,6,125,264,471,7035,
"Wagga Wagga - North",441,704,401,3,3,92,32,5,87,105,133,2009,
"Wagga Wagga - South",2393,3028,1716,432,89,412,114,21,109,425,585,9327,
"Wagga Wagga - West",1292,1038,1658,342,60,321,134,15,135,374,596,5965,
"Wagga Wagga Surrounds",2238,2337,560,15,19,386,168,9,208,456,616,7009,
"Berry - Kangaroo Valley",2228,1021,283,18,7,179,64,3,192,233,845,5076,
"Callala Bay - Currarong",862,384,210,4,4,79,15,0,36,52,1479,3109,
"Culburra Beach",1083,567,285,5,19,167,28,6,85,113,1167,3515,
"Ettrema - Sassafras - Budawang",15,13,0,0,0,0,0,0,0,3,16,49,
"Huskisson - Vincentia",1021,507,385,22,7,98,45,0,30,81,1454,3655,
"North Nowra - Bomaderry",2473,1957,1027,150,181,284,98,15,57,300,432,6969,
"Nowra",2287,2291,1631,474,366,355,238,23,116,700,570,9050,
"St Georges Basin - Erowal Bay",2666,1771,1004,21,32,293,98,8,290,378,1712,8271,
