Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"Brunswick Heads - Ocean Shores",3,4,21,102,709,1050,1054,333,40,133,70,882,4402,
"Byron Bay",0,6,21,134,939,1132,1033,349,73,178,78,1836,5785,
"Evans Head",0,7,10,55,405,752,663,233,44,52,46,742,3003,
"Lennox Head - Skennars Head",0,0,4,61,399,946,1160,533,81,126,27,557,3896,
"Mullumbimby",0,6,27,120,773,874,787,244,60,124,51,819,3894,
"Casino",0,6,27,85,717,1509,1572,514,60,109,108,727,5436,
"Casino Surrounds",3,0,23,78,400,672,874,325,64,82,59,628,3191,
"Goonellabah",0,6,19,83,654,1660,1880,751,104,140,67,539,5895,
"Kyogle",0,8,27,82,528,896,972,323,59,78,65,716,3748,
"Lismore",0,7,44,159,1314,2126,1740,449,79,203,96,974,7192,
"Lismore Surrounds",4,12,30,169,1016,1454,1710,833,158,189,107,1136,6822,
"Kingscliff - Fingal Head",3,3,8,128,1090,1893,1534,611,109,174,69,1453,7077,
"Murwillumbah",0,0,10,85,620,1271,1096,362,43,132,57,533,4201,
"Murwillumbah Surrounds",4,14,25,126,659,969,1022,426,102,105,66,845,4362,
"Pottsville",0,6,15,94,785,1513,1696,624,83,153,75,1071,6111,
"Tweed Heads",3,7,33,191,1651,3565,2108,589,97,211,169,1813,10437,
"Banora Point",3,0,16,112,817,1918,2319,817,92,193,91,588,6964,
"Terranora - North Tumbulgum",0,0,0,7,97,240,344,263,57,30,11,96,1146,
"Tweed Heads South",0,0,11,77,757,1391,1048,232,20,71,91,659,4368,
"Griffith (NSW)",8,26,77,276,1179,2065,2280,851,78,191,158,1122,8303,
"Griffith Surrounds",0,4,12,92,533,1099,1476,640,118,201,88,1106,5371,
"Leeton",4,6,8,75,468,1037,1227,554,75,97,73,622,4248,
"Narrandera",0,5,10,35,251,659,765,321,53,69,48,600,2799,
"Tumbarumba",0,0,5,20,166,346,468,190,32,46,23,407,1712,
"Tumut",0,0,4,51,369,859,893,288,39,77,32,465,3077,
