"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Huskisson - Vincentia",0,0,4844,3689,879,243,4224,358,243
"North Nowra - Bomaderry",0,0,16098,13010,2211,859,14405,838,855
"Nowra",0,0,22584,17989,2772,1812,18549,1518,2503
"St Georges Basin - Erowal Bay",0,0,15259,12155,2049,1015,13608,696,934
"Sussex Inlet - Berrara",0,0,4694,3683,552,440,4198,130,352
"Tomerong - Wandandian - Woollamia",0,0,3708,2984,403,279,3286,135,263
"Ulladulla",0,0,17026,13774,2176,1049,15382,680,938
"Ulladulla Surrounds",0,0,5822,4687,708,416,5327,143,349
"Bowral",0,1,13626,10009,2890,714,11987,941,705
"Hill Top - Colo Vale",0,1,6393,5451,728,194,5930,262,199
"Mittagong",0,1,10931,8237,2182,482,9297,1113,483
"Moss Vale - Berrima",0,1,10648,8205,1770,653,9182,841,635
"Robertson - Fitzroy Falls",0,1,3829,3016,542,256,3478,131,231
"Southern Highlands",0,1,7250,5505,1242,456,6479,358,403
"Baulkham Hills - East",1,1,24726,13817,10336,556,13533,10501,674
"Baulkham Hills (West) - Bella Vista",1,1,21683,11779,9384,498,11606,9488,573
"Glenhaven",1,1,6361,4632,1606,111,5323,911,123
"West Pennant Hills",1,1,12683,6958,5463,216,7061,5378,245
"Castle Hill - Central",1,1,7677,4013,3430,181,4049,3376,221
"Castle Hill - East",0,1,5670,2983,2547,157,3039,2172,446
"Castle Hill - North",1,1,12189,6793,5104,301,7061,4840,318
"Castle Hill - South",1,1,10419,5418,4735,242,5528,4600,297
"Castle Hill - West",1,1,5183,2730,2365,61,2695,2401,91
"Cherrybrook",0,1,19082,8859,9904,267,9296,9277,492
"Kellyville - East",1,1,17709,10555,6847,287,10943,6402,335
"Kellyville - West",1,1,11375,5541,5627,210,5392,5568,413
"Dural - Kenthurst - Wisemans Ferry",1,1,22479,16435,5362,653,17578,4217,696
"Galston - Laughtondale",0,1,5436,4196,1037,221,4683,508,231
"Bilpin - Colo - St Albans",0,1,2846,2160,359,289,2446,129,269
"Kurrajong Heights - Ebenezer",0,1,22161,18968,2597,583,20422,1117,620
"Pitt Town - McGraths Hill",1,1,11414,9534,1429,434,9995,1001,429
"Box Hill - Nelson",1,1,10287,5843,4192,232,5651,4282,331
"North Kellyville",1,1,17401,9399,7530,483,9228,7470,679
"Rouse Hill - Beaumont Hills",1,1,17581,10389,6904,245,10965,6260,327
"Blacktown (East) - Kings Park",1,1,17032,7197,8729,1087,6686,9068,1227
"Blacktown (North) - Marayong",1,1,20584,9804,9665,1121,9341,9999,1273
"Doonside - Woodcroft",1,1,23384,10439,11731,1227,9632,12412,1340
"Lalor Park - Kings Langley",1,1,25373,15809,8192,1302,16204,7822,1361
"Blacktown - South",1,1,12646,6083,5893,663,5433,6423,761
"Blacktown - West",1,1,17141,8046,8018,1049,7379,8594,1129
"Seven Hills - Prospect",1,1,14866,7322,6850,655,6987,7129,724
"Toongabbie - West",1,1,11578,4964,5994,561,4418,6506,606
"Glenwood",1,1,15829,7633,7940,245,7015,8439,336
"Acacia Gardens",1,1,3668,1985,1598,28,1888,1747,45
"Quakers Hill",1,1,24670,13082,10718,806,12841,10858,967
"Kellyville Ridge - The Ponds",1,1,21058,11036,9516,442,10745,9691,590
"Marsden Park - Shanes Park",1,1,15524,6741,8177,584,5732,9081,704
"Riverstone",1,1,13844,8635,4468,721,8638,4378,793
"Schofields (West) - Colebee",1,1,10011,4653,5009,339,4194,5409,399
"Schofields - East",1,1,25130,10472,13521,1086,9436,14498,1230
"Stanhope Gardens - Parklea",1,1,13034,6636,5975,402,5744,5618,1625
"Bidwill - Hebersham - Emerton",1,1,18536,10817,5562,2124,10738,5577,2204
"Glendenning - Dean Park",1,1,8374,4436,3588,341,4156,3815,379
"Hassall Grove - Plumpton",1,1,21414,10683,9674,997,9886,10275,1217
"Lethbridge Park - Tregear",1,1,21551,13287,6245,1994,13321,6040,2177
"Mount Druitt - Whalan",1,1,22918,10519,10610,1755,9195,11759,1943
"Prospect Reservoir",1,1,12,6,0,4,3,0,4
"Rooty Hill - Minchinbury",1,1,22826,10977,10469,1373,10237,11044,1536
"Banksmeadow",0,1,508,168,222,89,239,185,86
"Botany",0,1,12960,8157,4192,596,9015,3220,718
"Pagewood - Hillsdale - Daceyville",0,1,14762,7144,6769,855,7639,6124,980
"Port Botany Industrial",0,1,6,4,0,0,4,0,0
"Sydney Airport",0,1,19,3,9,6,4,4,4
"Eastlakes",0,1,8941,4024,4426,461,3685,4746,508
"Mascot",0,1,21573,7570,12901,1099,8180,12133,1292
"Petersham - Stanmore",0,1,19898,13397,5566,946,15097,3810,977
"Sydenham - Tempe - St Peters",0,1,8278,5174,2764,289,5771,2154,311
"Marrickville - North",0,1,12317,7695,4036,554,8210,3467,616
"Marrickville - South",0,1,14283,8380,5263,628,8287,5324,666
"Darlinghurst",0,1,10615,5597,4254,730,7624,2175,788
"Erskineville - Alexandria",0,1,19126,11406,6917,792,14451,3770,850
"Glebe - Forest Lodge",0,1,20262,11242,7696,1280,13787,5137,1326
"Potts Point - Woolloomooloo",0,1,18187,9792,6740,1615,13129,3281,1748
"Surry Hills",0,1,15828,7715,6969,1114,10568,3980,1212
"Camperdown - Darlington",0,1,8332,5123,2773,400,6147,1696,419
"Chippendale",0,1,7803,2340,4810,646,3045,4087,664
"Newtown (NSW)",0,1,14667,9471,4513,669,11464,2480,712
"Pyrmont",0,1,12658,5147,6526,913,6657,5069,954
"Redfern",0,1,13670,7131,5504,1051,8864,3661,1124
"Rosebery - Beaconsfield",0,1,12290,5401,6187,657,6422,5158,688
