sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Moss Vale - Berrima,0,3,9182,32,23,11,0,0,14,29,33,64,3,0,0,0,6,3,23,15,6,0,18,16,11,0,0,16,165,0,0,0,0,19,41,104,0,0,128,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,6,635
Robertson - Fitzroy Falls,0,0,3478,18,9,10,6,0,10,10,4,12,4,0,0,0,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,231
Southern Highlands,0,0,6479,40,19,3,5,0,22,27,37,32,6,0,0,0,5,0,19,12,0,0,0,24,3,0,0,3,12,0,0,0,0,5,5,11,0,0,27,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,4,403
Baulkham Hills - East,0,8,13533,29,69,7,3,0,35,178,267,118,18,0,0,4,21,131,155,97,32,0,580,517,102,29,5,780,1935,0,0,40,0,97,83,375,0,0,3729,78,828,3,0,0,0,0,0,0,0,0,0,0,0,0,61,24,3,5,0,15,77,674
Baulkham Hills (West) - Bella Vista,0,0,11606,44,47,32,0,0,48,171,201,133,52,0,0,0,19,49,191,90,10,0,378,318,97,23,7,974,2371,0,0,26,0,110,42,355,0,0,3243,13,348,0,0,0,0,0,0,0,0,0,0,7,0,0,19,20,0,0,0,23,40,573
Glenhaven,0,0,5323,22,26,10,0,0,7,34,34,69,4,0,0,0,8,17,22,32,0,0,81,91,7,0,0,21,114,0,0,0,0,21,3,33,0,0,205,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,123
West Pennant Hills,0,0,7061,42,64,0,0,0,25,64,104,111,5,0,0,0,14,43,48,39,0,0,209,207,14,13,0,258,756,0,0,12,0,77,26,150,0,0,2730,33,296,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,9,15,245
Castle Hill - Central,0,0,4049,22,49,10,0,0,8,24,116,26,3,0,0,0,8,59,63,43,3,0,184,171,17,9,0,184,526,0,0,12,0,33,38,83,0,0,1319,26,310,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,7,19,221
Castle Hill - East,0,0,3039,3,33,0,0,0,0,22,44,33,0,0,0,0,3,14,24,10,14,0,70,65,5,5,0,147,397,0,0,0,0,21,3,65,0,0,1061,15,106,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,446
Castle Hill - North,0,0,7061,24,91,12,8,0,32,83,125,94,10,0,0,10,19,43,102,55,8,0,256,235,37,12,3,170,674,0,0,25,0,87,19,219,0,0,1926,31,355,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,10,18,318
Castle Hill - South,0,0,5528,11,64,29,0,0,10,46,148,67,8,0,0,8,13,34,57,36,10,0,294,172,45,24,0,264,682,0,0,13,0,96,28,176,0,0,1811,38,376,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,4,10,18,297
Castle Hill - West,0,0,2695,7,17,7,0,0,6,44,26,50,8,0,0,0,0,11,22,28,4,0,127,128,13,3,0,165,597,0,0,8,0,27,12,167,0,0,731,9,145,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,11,91
Cherrybrook,0,0,9296,48,188,13,8,0,42,70,154,81,4,0,0,3,31,113,70,48,6,0,348,198,29,47,3,883,1935,0,0,14,0,81,24,300,0,0,3890,73,532,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,0,3,31,492
Kellyville - East,0,8,10943,22,154,0,3,0,21,79,230,162,16,0,0,0,12,54,119,56,3,0,428,391,33,27,4,429,1354,0,0,23,0,79,31,353,0,0,1794,11,357,0,0,0,0,0,0,0,0,0,0,0,0,0,55,52,0,0,0,15,41,335
Kellyville - West,0,0,5392,23,46,9,0,0,16,41,152,75,15,0,0,0,3,20,72,29,7,0,320,272,39,23,6,439,1811,0,0,11,0,34,17,354,0,0,1340,13,290,8,0,0,0,0,0,0,0,0,0,0,0,0,42,17,0,0,0,5,34,413
Dural - Kenthurst - Wisemans Ferry,0,4,17578,85,124,14,6,0,36,89,147,413,86,6,0,3,28,47,179,40,6,0,171,708,13,15,0,145,474,0,0,3,0,35,26,97,0,0,995,17,131,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,10,17,696
Galston - Laughtondale,0,0,4683,28,25,4,0,0,15,26,16,96,3,0,0,3,0,16,16,15,0,0,6,68,0,9,0,5,24,0,0,0,0,3,8,18,0,0,81,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,11,231
Bilpin - Colo - St Albans,0,0,2446,19,7,0,0,0,0,3,10,9,6,0,0,6,3,5,8,3,4,0,4,4,0,0,0,0,3,0,0,0,0,10,8,7,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,269
Kurrajong Heights - Ebenezer,0,6,20422,49,56,12,6,0,36,26,65,94,243,0,0,0,19,15,53,18,17,0,8,39,9,9,3,0,55,0,0,0,0,14,16,46,0,0,110,8,18,0,0,0,0,0,0,0,0,0,0,8,0,0,0,21,0,0,0,19,19,620
Pitt Town - McGraths Hill,0,0,9995,27,22,0,3,0,10,15,36,82,218,0,0,0,8,17,64,20,0,0,46,114,3,5,0,5,83,0,0,3,0,9,8,17,0,0,126,7,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,12,429
Box Hill - Nelson,0,0,5651,4,57,3,0,0,19,51,106,83,59,0,0,0,9,12,47,19,7,0,215,161,23,5,8,420,1859,0,0,0,0,20,14,516,0,0,274,3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,87,28,0,0,0,0,43,331
North Kellyville,0,0,9228,16,112,13,10,0,25,58,198,104,34,0,0,0,10,50,95,22,0,0,600,512,44,29,6,514,2565,0,0,26,0,28,32,450,0,0,1484,19,275,0,0,0,0,0,0,0,0,0,0,4,0,0,72,39,0,0,0,0,45,679
Rouse Hill - Beaumont Hills,0,0,10965,27,166,0,0,0,39,76,202,95,62,0,0,5,3,40,91,45,8,0,476,393,55,37,8,384,1407,0,0,8,0,56,36,663,0,0,1489,25,204,0,0,0,0,0,0,0,0,0,0,4,0,0,88,26,6,0,0,8,34,327
Blacktown (East) - Kings Park,0,0,6686,14,13,4,3,0,23,81,134,128,43,0,0,0,27,42,252,56,14,0,340,494,102,16,5,632,4508,0,0,86,0,52,36,759,0,0,614,15,145,0,0,0,0,0,0,0,0,0,0,0,0,0,147,235,0,0,0,13,81,1227
Blacktown (North) - Marayong,0,0,9341,9,20,8,0,0,39,110,202,105,149,0,0,0,22,41,158,211,10,0,294,583,157,24,8,564,4240,0,0,82,0,83,44,1282,0,0,619,12,343,0,0,0,0,0,0,0,0,0,0,9,0,0,130,300,0,11,0,15,92,1273
Doonside - Woodcroft,0,0,9632,15,17,0,0,0,35,130,212,63,149,0,0,0,20,55,275,102,23,0,492,913,198,3,20,895,4135,8,0,88,0,117,49,2970,0,0,499,6,88,0,3,3,0,0,0,0,0,0,0,3,0,0,223,533,0,0,0,20,60,1340
Lalor Park - Kings Langley,0,6,16204,35,54,15,0,0,85,196,288,172,78,0,0,0,41,78,233,108,18,0,244,626,104,56,11,808,1851,3,0,78,0,99,53,693,0,0,1083,24,329,0,4,0,0,0,0,0,0,0,0,0,0,0,70,210,0,6,0,26,58,1361
Blacktown - South,0,0,5433,22,14,5,0,0,15,135,102,71,105,0,0,0,12,24,244,13,5,0,274,621,249,16,5,565,2256,0,0,29,0,62,42,616,0,0,516,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,85,173,0,0,0,4,50,761
Blacktown - West,0,0,7379,67,17,3,0,0,25,168,153,110,167,0,0,3,19,24,245,42,20,0,354,804,93,20,9,522,3176,3,0,84,0,82,39,1056,3,0,615,11,133,3,0,0,0,0,0,0,0,0,0,5,0,0,164,314,0,5,0,16,57,1129
Seven Hills - Prospect,0,0,6987,21,8,4,0,0,31,216,126,73,147,0,0,0,20,27,132,37,17,0,171,558,311,10,13,1106,2324,0,0,94,0,73,30,507,0,0,656,8,122,11,0,0,0,0,0,0,0,0,0,3,0,0,48,181,0,4,0,9,57,724
Toongabbie - West,0,0,4418,6,7,0,0,0,18,61,85,52,92,0,0,0,6,26,58,47,0,0,88,335,130,7,15,1798,2379,9,0,53,0,29,33,316,0,0,486,0,168,0,0,0,0,0,0,0,0,0,0,6,0,0,55,132,0,0,0,7,33,606
Glenwood,0,0,7015,9,49,5,0,0,35,73,146,73,40,0,0,0,4,68,88,39,22,0,331,269,48,51,23,766,4223,0,0,51,0,50,24,735,0,0,856,11,199,0,0,0,0,0,0,0,0,0,0,0,0,0,71,73,0,0,0,0,25,336
Acacia Gardens,0,0,1888,4,20,0,0,0,6,32,42,13,12,0,0,0,8,7,20,12,3,0,49,64,15,4,3,197,792,0,0,6,0,17,6,174,0,0,131,0,36,0,0,0,0,0,0,0,0,0,0,4,0,0,26,17,0,0,0,0,11,45
Quakers Hill,0,4,12841,25,34,5,0,0,23,100,190,83,153,0,0,0,17,63,93,91,12,0,423,369,59,18,18,1444,5065,0,0,58,0,51,70,1313,0,0,506,23,117,0,0,0,0,0,0,0,0,0,0,0,0,0,119,177,0,4,0,13,108,967
Kellyville Ridge - The Ponds,0,7,10745,23,125,0,0,0,39,79,266,82,68,0,0,0,6,53,82,34,14,0,559,415,98,27,10,1058,4480,0,0,20,0,63,38,864,0,0,765,16,185,0,0,0,0,0,0,0,0,0,0,0,0,0,88,62,0,4,0,23,58,590
Marsden Park - Shanes Park,0,0,5732,6,26,9,0,0,17,29,91,26,62,0,0,0,5,16,48,8,11,0,208,243,34,0,15,1183,4693,4,0,13,0,48,23,1514,0,0,290,0,102,0,3,0,0,0,0,0,0,0,0,5,0,0,156,151,0,4,0,11,53,704
Riverstone,0,5,8638,16,39,3,0,0,7,31,120,80,115,0,0,0,3,21,44,6,11,0,141,132,17,6,4,448,1909,14,0,13,0,23,25,507,0,0,327,13,84,0,3,0,0,0,0,0,0,0,0,5,0,0,108,92,0,0,0,10,48,793
Schofields (West) - Colebee,0,0,4194,11,40,0,0,0,15,29,75,30,61,0,0,0,0,18,39,20,0,0,81,165,32,10,14,726,2525,9,0,3,0,29,12,685,0,0,402,0,102,0,3,0,0,0,0,0,0,0,0,6,0,0,99,112,0,0,0,7,55,399
Schofields - East,0,0,9436,27,78,0,4,0,36,47,213,74,55,0,0,0,7,70,78,25,11,0,592,343,48,17,11,2248,7182,8,0,11,0,67,78,956,0,0,1447,8,226,0,0,0,0,0,0,0,0,0,0,5,0,0,182,214,0,0,0,10,94,1230
Stanhope Gardens - Parklea,0,0,5744,8,46,0,0,0,46,41,142,50,26,0,0,0,15,37,74,20,3,0,370,223,31,32,13,544,2264,0,0,11,0,34,22,594,0,0,649,11,170,0,0,0,0,0,0,0,0,0,0,4,0,0,68,68,0,0,0,10,38,1625
Bidwill - Hebersham - Emerton,0,0,10738,15,7,0,3,0,18,53,190,36,41,0,0,0,13,23,67,17,19,0,122,870,128,4,9,115,1097,0,0,42,0,102,39,652,0,0,127,0,18,0,4,0,0,0,0,0,0,0,0,22,0,0,158,1520,0,0,0,6,42,2204
Glendenning - Dean Park,0,0,4156,0,3,0,0,0,18,78,91,25,64,0,0,0,102,10,44,21,3,0,100,292,64,0,9,137,1429,0,0,6,0,38,12,877,0,0,67,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,68,210,0,0,0,7,34,379
Hassall Grove - Plumpton,0,0,9886,9,3,3,4,0,39,55,234,38,87,0,0,0,35,12,170,27,30,0,371,1020,133,11,20,322,3276,3,0,49,0,202,30,2928,0,0,173,7,21,0,0,0,0,0,0,0,0,0,0,3,0,0,205,680,0,8,0,8,83,1217
Lethbridge Park - Tregear,0,0,13321,11,17,0,6,0,17,49,132,42,37,0,0,0,15,36,68,32,34,0,166,499,66,4,10,268,1810,0,0,45,0,79,44,765,0,0,147,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,259,1285,0,0,0,11,59,2177
Mount Druitt - Whalan,0,0,9195,17,5,0,7,0,33,81,144,59,60,0,0,0,12,12,237,37,38,0,581,2140,244,14,7,402,3656,0,0,89,0,146,45,1896,0,0,339,6,41,0,0,0,0,0,0,0,0,0,0,12,0,0,403,909,0,4,0,13,76,1943
Prospect Reservoir,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Rooty Hill - Minchinbury,0,3,10237,12,20,3,6,0,42,107,334,99,183,0,0,4,19,19,195,65,27,0,481,1058,212,7,15,347,3133,4,0,47,0,183,43,3046,0,0,363,14,52,0,0,0,0,0,0,0,0,0,0,7,0,0,181,625,0,3,0,17,86,1536
Banksmeadow,0,0,239,8,10,0,0,0,3,7,13,0,0,0,0,0,7,7,3,3,0,0,8,3,0,0,0,0,5,0,0,0,0,3,0,14,0,0,84,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,86
Botany,0,11,9015,61,20,13,9,0,72,245,382,127,21,0,0,0,21,127,265,73,14,0,39,154,52,16,0,33,156,0,0,0,0,68,25,430,0,0,591,39,37,4,0,0,0,0,0,0,0,0,0,18,0,0,13,74,0,0,0,5,35,718
Pagewood - Hillsdale - Daceyville,0,21,7639,32,15,9,8,0,115,475,918,140,31,0,0,11,43,221,165,108,12,0,92,494,140,10,4,50,647,0,0,5,0,75,83,613,0,0,1364,50,37,14,0,0,0,0,0,0,0,0,0,5,0,0,23,83,0,4,0,9,37,980
Port Botany Industrial,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Eastlakes,0,0,3685,5,7,0,3,0,13,717,370,147,25,0,0,4,13,182,119,44,12,0,48,330,321,25,0,46,824,0,0,5,0,74,81,599,0,0,527,25,35,11,0,0,0,0,0,0,0,0,0,0,0,0,22,81,0,0,0,10,31,508
Mascot,0,15,8180,27,14,9,10,0,92,592,1200,173,41,0,0,12,10,147,156,59,7,0,82,275,223,17,4,184,820,0,0,34,0,341,366,2457,0,0,3750,122,142,549,0,0,0,0,0,0,0,0,0,3,0,0,15,80,0,4,0,10,75,1292
Petersham - Stanmore,0,7,15097,73,38,21,16,0,119,489,762,302,8,0,0,5,8,51,157,48,18,0,26,137,46,3,3,44,195,0,0,3,0,252,91,158,0,0,513,74,41,4,0,0,0,0,3,0,0,0,0,23,0,0,17,40,4,4,0,9,20,977
Sydenham - Tempe - St Peters,0,4,5771,30,22,14,0,0,50,209,198,52,14,0,0,5,8,27,241,12,3,0,3,78,13,0,0,20,127,0,0,0,0,266,106,163,0,0,378,23,21,10,0,0,0,0,0,0,0,0,0,0,0,0,9,45,0,3,0,3,12,311
Marrickville - North,0,7,8210,70,13,8,3,0,62,698,497,104,11,0,0,10,10,25,86,16,4,0,16,214,49,3,4,30,79,0,0,9,0,730,46,118,0,0,387,53,26,5,0,0,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,11,14,616
Marrickville - South,0,0,8287,45,10,18,3,0,77,1164,377,138,10,0,0,5,9,48,90,32,13,0,18,532,91,4,5,21,229,0,0,14,0,1137,157,260,0,0,528,59,38,14,3,0,0,0,0,0,0,0,0,16,0,0,29,74,0,0,0,19,26,666
Darlinghurst,0,4,7624,71,72,20,6,0,127,53,362,128,6,0,0,4,11,30,40,52,3,0,19,72,38,3,0,27,111,0,0,8,0,82,207,148,0,0,332,75,53,3,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,4,19,788
Erskineville - Alexandria,0,15,14451,111,52,37,16,0,203,115,523,136,3,0,0,12,18,122,144,77,17,0,37,97,60,0,0,58,174,0,0,3,0,145,108,262,0,0,995,62,94,27,3,0,0,0,0,0,0,0,0,6,0,0,19,26,0,0,0,11,27,850
Glebe - Forest Lodge,0,9,13787,138,61,51,8,0,149,174,514,183,0,0,0,5,19,106,75,97,15,0,103,168,59,11,3,64,287,0,0,12,0,414,147,226,0,0,1599,133,120,4,3,0,0,0,0,0,0,0,0,9,0,0,42,88,0,0,0,4,30,1326
Potts Point - Woolloomooloo,0,0,13129,128,61,45,8,0,301,107,606,194,7,0,0,9,21,120,101,90,8,0,43,84,58,5,7,33,180,0,0,0,0,110,119,176,0,0,428,112,59,4,0,0,0,0,0,0,0,0,0,5,0,0,11,27,0,0,0,0,19,1748
Surry Hills,0,15,10568,72,65,35,11,0,216,164,490,143,8,0,0,10,16,124,86,71,10,0,39,107,36,10,3,42,192,0,0,7,0,165,429,289,0,0,909,111,85,11,0,0,0,0,0,0,0,0,0,4,0,0,17,18,0,3,0,5,19,1212
Camperdown - Darlington,0,3,6147,55,23,15,0,0,65,47,119,69,6,0,0,0,4,13,11,18,0,0,22,67,15,0,0,39,139,0,0,8,0,58,39,114,0,0,632,65,48,4,0,0,0,0,0,0,0,0,0,4,0,0,5,12,0,0,0,4,16,419
Chippendale,0,3,3045,33,15,9,4,0,63,16,222,53,0,0,0,0,3,38,19,22,0,0,32,55,26,7,0,36,208,0,0,23,0,163,229,452,0,0,2153,65,126,5,0,0,0,0,0,0,0,0,0,5,0,0,9,8,0,4,0,0,15,664
Newtown (NSW),0,4,11464,94,50,25,13,0,142,200,318,103,9,0,0,6,16,37,95,27,5,0,25,101,39,5,0,22,120,0,0,14,0,130,149,119,0,0,441,76,39,0,5,0,0,0,0,0,0,0,0,9,0,0,11,20,0,0,0,9,21,712
Pyrmont,0,5,6657,55,28,28,5,0,125,83,633,170,3,0,0,4,8,143,112,65,18,0,73,79,53,8,4,159,387,0,0,11,0,195,330,375,0,0,1470,160,192,12,6,0,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,4,29,954
Redfern,0,3,8864,86,47,28,6,0,170,204,513,95,3,0,0,13,20,187,110,52,5,0,31,190,58,3,0,59,198,0,0,9,0,153,151,182,0,0,809,88,94,9,3,0,4,0,5,0,0,0,3,19,0,0,29,32,0,0,0,7,27,1124
Rosebery - Beaconsfield,0,14,6422,48,11,16,8,0,98,549,556,122,18,0,0,5,25,242,108,76,4,0,104,139,79,7,0,52,214,0,0,4,0,95,47,353,0,0,1969,65,98,8,0,0,0,0,0,0,0,0,0,5,0,0,9,13,0,0,0,5,28,688
Sydney (North) - Millers Point,0,0,4381,32,19,10,0,0,70,55,259,74,5,0,0,8,16,68,50,22,11,0,48,80,36,7,7,58,289,0,0,8,0,95,176,320,0,0,867,114,134,3,0,0,0,0,0,0,0,0,0,0,0,0,12,14,12,0,0,0,19,625
Sydney (South) - Haymarket,0,0,4371,39,19,18,11,0,125,42,536,97,0,0,0,7,4,79,26,47,8,0,96,101,53,0,5,92,415,0,0,31,0,396,3191,2606,0,7,4883,232,593,20,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,6,0,5,36,1706
Ultimo,0,4,2560,28,15,7,4,0,56,12,344,76,3,0,0,0,8,46,26,35,0,0,40,58,58,0,0,88,293,4,0,22,0,141,512,330,0,0,1860,93,104,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,14,559
Waterloo,0,13,8486,94,47,28,13,0,133,82,788,167,4,0,0,7,10,460,104,93,17,0,99,179,59,6,3,58,260,0,0,27,0,236,91,315,0,0,2552,65,185,176,0,0,0,0,0,0,0,0,0,8,0,0,22,45,0,4,0,0,35,1411
Zetland,0,8,5701,48,30,34,12,0,77,58,585,149,3,0,0,12,11,135,60,63,4,0,119,142,39,4,6,53,239,0,0,15,0,105,117,378,0,0,3437,80,155,49,4,0,0,0,0,0,0,0,0,7,0,0,11,15,0,0,0,0,32,643
Bondi - Tamarama - Bronte,0,17,14226,189,60,75,11,0,373,200,964,270,13,4,0,9,69,376,79,117,9,0,21,208,20,3,0,10,51,0,0,4,0,30,47,92,0,0,190,56,30,9,0,0,0,0,0,0,0,0,0,6,0,0,4,14,0,0,0,9,30,1159
Bondi Beach - North Bondi,0,10,15429,247,133,109,27,0,505,172,1037,373,6,0,0,10,56,272,78,125,4,0,23,290,32,3,0,5,82,0,0,0,0,25,24,73,0,0,145,69,31,8,0,0,0,0,0,0,0,0,0,3,0,0,7,18,0,0,0,0,21,1272
Bondi Junction - Waverly,0,26,12349,113,36,34,12,0,272,191,919,306,8,0,0,7,43,368,81,103,10,0,32,230,23,3,0,17,103,0,0,0,0,55,53,195,0,0,700,115,83,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,4,23,1192
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover Heights,0,0,8162,75,41,16,6,0,121,178,315,137,0,0,0,12,54,326,70,70,6,0,29,414,18,6,0,0,41,0,0,3,0,9,22,141,0,0,326,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,456
Paddington - Moore Park,0,13,12166,99,27,44,0,0,196,156,303,145,3,0,0,7,13,63,51,62,3,0,23,55,10,3,3,19,50,0,0,5,0,45,72,84,0,0,244,48,30,4,0,0,0,0,0,0,0,0,0,4,0,0,7,18,0,0,0,4,26,705
Rose Bay - Vaucluse - Watsons Bay,0,3,9215,48,30,26,8,0,86,264,170,112,3,0,0,7,37,126,59,34,3,0,31,152,37,0,0,5,53,0,0,0,0,20,12,64,0,0,574,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,641
Woollahra,0,0,5941,38,30,20,0,0,89,49,125,64,0,0,0,12,12,49,32,27,13,0,9,46,12,0,0,12,32,0,0,0,0,27,10,51,0,0,272,39,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,400
Bellevue Hill,0,4,11312,73,28,23,4,0,163,153,299,124,0,0,0,6,59,195,53,68,0,0,24,217,10,7,0,3,59,0,0,0,0,33,23,70,0,0,656,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,6,683
Double Bay - Darling Point,0,5,7884,72,19,11,3,0,102,77,187,114,0,0,0,4,41,68,37,32,11,0,39,68,18,3,0,5,35,0,0,0,0,31,31,64,0,0,389,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,540
Kensington (NSW),0,0,6546,35,25,14,4,0,125,432,448,121,8,0,0,9,16,110,59,69,5,0,67,153,33,4,3,125,374,0,0,24,0,138,113,444,0,0,1390,73,85,8,0,0,0,0,0,0,0,0,0,5,0,0,15,10,6,0,0,0,21,703
Kingsford,0,11,6959,47,17,12,5,0,140,837,439,140,13,3,0,6,26,110,58,58,5,0,67,166,49,14,0,152,404,0,0,15,0,137,121,831,0,0,1896,61,87,40,3,0,0,0,0,0,0,0,0,10,0,0,15,16,0,0,0,0,14,623
Maroubra - North,0,6,6074,61,17,30,0,0,287,586,373,145,7,0,0,3,21,140,74,58,4,0,11,95,7,9,0,11,73,0,0,0,0,42,30,155,0,0,798,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,21,577
Maroubra - South,0,10,7003,99,21,21,11,0,303,304,647,124,19,0,0,14,22,264,107,157,0,0,26,172,38,19,0,15,91,0,0,3,0,59,34,178,0,0,471,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,3,26,711
Maroubra - West,0,5,5324,22,22,10,3,0,270,440,700,120,18,0,0,0,13,155,68,60,3,0,28,138,21,14,0,24,116,0,0,0,0,57,42,516,0,0,1135,61,56,3,0,0,0,0,0,0,0,0,0,4,0,0,4,22,0,0,0,4,14,346
Randwick - North,0,25,12140,136,38,10,6,0,192,218,520,156,9,0,0,3,50,261,79,108,11,0,30,152,9,0,0,30,101,0,0,5,0,61,43,182,0,0,517,68,40,13,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,5,0,3,27,930
Randwick - South,0,22,9118,100,35,24,0,0,196,219,424,127,0,0,0,12,17,120,70,81,6,0,29,94,20,4,4,50,205,0,0,11,0,59,74,204,0,0,562,56,22,8,0,0,0,0,0,0,0,0,0,4,0,0,10,24,0,0,0,7,19,706
Coogee - Clovelly,0,32,15738,203,72,55,17,0,352,248,600,189,5,0,0,7,28,114,89,137,3,0,42,137,36,4,0,16,59,0,0,0,0,26,35,63,0,0,199,52,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,4,22,883
Malabar - La Perouse,0,0,6871,68,27,23,0,0,228,227,211,85,25,0,0,0,28,106,93,78,0,0,19,130,30,0,0,16,91,0,0,0,0,27,20,78,0,0,448,10,32,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,0,0,0,0,16,1578
Matraville - Chifley,0,0,8981,44,29,8,6,0,219,356,366,198,43,0,0,0,42,184,127,103,5,0,32,233,30,25,8,28,175,0,0,4,0,75,32,336,0,0,779,33,27,0,0,0,0,0,0,0,0,0,0,26,0,0,21,73,0,0,0,4,21,765
South Coogee,0,0,3999,17,10,9,0,0,115,197,114,44,4,0,0,5,12,166,31,27,10,0,9,103,25,0,0,3,22,0,0,0,0,37,8,38,0,0,227,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,10,344
Bass Hill - Georges Hall,0,0,8723,30,0,0,0,0,14,609,169,345,27,0,0,11,8,20,484,58,16,0,219,6776,111,17,4,18,308,0,0,34,0,2299,39,196,0,0,564,10,64,3,0,0,0,0,0,0,0,0,0,4,0,0,129,238,0,3,0,13,73,2236
Chullora,0,0,405,0,0,0,0,0,0,12,3,0,0,0,0,0,0,3,27,5,0,0,11,232,14,0,0,10,154,0,0,0,0,131,8,41,0,0,158,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,5,102
Condell Park,0,0,3721,20,7,0,0,0,16,508,85,219,12,0,0,0,3,16,317,12,5,0,38,3862,11,0,0,26,297,0,0,20,0,1808,17,123,0,0,383,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,40,126,0,0,0,6,35,993
