"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Maclean - Yamba - Iluka",0,5136,34,18,0,15,0,8690,1253,457,46,0,215,50,79,0,6,0,0,9,0,37,96,0,89,18,0,44,0,0,22,16,3,0,0,0,18,59,13,1100,17533,
"Bellingen",0,1632,18,0,0,0,0,2917,448,272,20,0,93,26,52,0,9,12,0,0,0,6,23,0,20,9,0,21,0,0,18,9,4,3,0,0,20,4,12,519,6168,
"Coffs Harbour - North",3,5305,65,13,0,36,0,7660,1028,474,48,0,281,70,110,0,161,0,33,61,0,386,144,0,171,36,0,386,43,0,38,21,22,0,0,45,123,49,69,1229,18099,
"Coffs Harbour - South",0,2973,26,44,0,31,0,4584,622,231,22,0,227,62,58,0,232,0,26,69,0,283,85,0,88,27,0,204,18,0,23,10,4,0,0,48,109,52,39,1098,11305,
"Coramba - Nana Glen - Bucca",3,1237,7,0,0,6,0,1807,204,180,5,0,64,9,28,0,0,0,0,0,0,15,12,0,20,0,0,23,0,0,4,0,0,0,0,0,10,9,0,292,3950,
"Dorrigo",0,937,13,0,0,4,0,1553,206,108,7,0,26,15,20,0,0,0,0,0,0,7,17,0,19,0,0,0,0,0,3,4,0,5,0,0,0,6,0,298,3250,
"Korora - Emerald Beach",0,2656,38,4,0,5,0,5153,737,357,26,0,195,39,76,0,23,3,4,8,0,19,49,0,119,24,0,118,0,4,19,20,8,0,0,13,69,12,22,420,10262,
"Sawtell - Boambee",0,6304,52,4,0,15,0,9597,1224,530,42,0,317,72,116,0,23,0,6,9,0,86,96,0,110,21,0,152,0,3,20,13,6,0,0,14,57,20,25,1119,20066,
"Urunga",0,1499,9,6,0,5,0,2392,350,143,17,0,35,24,30,0,5,0,0,0,0,0,10,0,14,4,0,8,0,0,5,4,0,0,0,0,4,4,4,329,4907,
"Woolgoolga - Arrawarra",0,3855,41,3,0,63,0,6321,823,331,32,0,185,48,69,0,12,0,3,4,0,34,122,0,177,62,0,1306,35,0,26,14,0,0,0,7,40,19,9,833,14463,
"Bourke - Brewarrina",0,1652,4,4,0,4,0,890,144,22,5,0,16,3,0,0,0,0,0,0,0,0,10,0,14,5,0,65,0,0,0,0,0,0,0,3,3,0,0,573,3428,
"Cobar",0,1568,25,8,0,20,0,1398,199,59,0,0,39,12,5,0,7,0,4,0,0,17,25,0,30,0,0,28,0,0,6,0,0,0,0,4,19,0,13,632,4129,
"Coonamble",0,1907,7,0,0,0,0,1143,174,53,3,0,19,12,12,0,0,0,0,0,0,4,15,0,13,0,0,36,0,0,0,0,0,0,0,0,0,0,0,548,3926,
